Ville,Année,Mois,Ventes,Volume,PrixMedian,Stock
Amarillo,2000,10,165,16810000,89000,1191
Amarillo,2000,11,133,13955000,87300,1174
Amarillo,2000,12,158,15800000,88300,1092
Amarillo,2001,1,134,14445000,89000,1087
Amarillo,2001,2,157,15345000,87100,1037
Amarillo,2001,3,187,19260000,86300,1030
Amarillo,2001,4,199,21740000,93200,1055
Amarillo,2001,5,225,22225000,88300,1064
Amarillo,2001,6,242,25135000,91200,1092
Amarillo,2001,7,210,25000000,97100,1141
Amarillo,2001,8,259,29150000,93900,1144
Amarillo,2001,9,183,19035000,87600,1137
Amarillo,2001,10,211,22530000,88400,1137
Amarillo,2001,11,170,18875000,90000,1137
Amarillo,2001,12,166,18270000,96000,1072
Amarillo,2002,1,146,14955000,83300,1071
Amarillo,2002,2,182,18440000,86400,1090
Amarillo,2002,3,200,20235000,85300,1046
Amarillo,2002,4,209,21345000,89100,1106
Amarillo,2002,5,198,21420000,95600,1140
Amarillo,2002,6,220,25025000,97700,1191
Amarillo,2002,7,213,23185000,99600,1266
Amarillo,2002,8,193,21345000,93900,1256
Amarillo,2002,9,186,22045000,95800,1214
Amarillo,2002,10,176,21245000,91900,1242
Amarillo,2002,11,173,19605000,95000,1249
Amarillo,2002,12,153,14150000,79600,1205
Amarillo,2003,1,165,14985000,79600,1205
Amarillo,2003,2,176,17255000,86700,1173
Amarillo,2003,3,203,22330000,95500,1293
Amarillo,2003,4,220,23455000,88900,1279
Amarillo,2003,5,264,28375000,98300,1360
Amarillo,2003,6,260,30990000,108900,1382
Amarillo,2003,7,296,32085000,93500,1412
Amarillo,2003,8,288,35820000,107400,1422
Amarillo,2003,9,287,30035000,91900,1406
Amarillo,2003,10,238,26325000,95600,1387
Amarillo,2003,11,212,23395000,95000,1349
Amarillo,2003,12,219,22975000,90900,1242
Amarillo,2004,1,181,20110000,90400,1215
Amarillo,2004,2,227,23885000,94500,1219
Amarillo,2004,3,248,27265000,93500,1186
Amarillo,2004,4,274,30270000,95500,1196
Amarillo,2004,5,289,32160000,94400,1199
Amarillo,2004,6,322,38385000,99600,1248
Amarillo,2004,7,320,39300000,106100,1250
Amarillo,2004,8,263,30490000,98400,1246
Amarillo,2004,9,266,30635000,89700,1241
Amarillo,2004,10,210,24165000,98000,1196
Amarillo,2004,11,228,24865000,97700,1154
Amarillo,2004,12,229,29985000,105500,1090
Amarillo,2005,1,218,24070000,93900,1072
Amarillo,2005,2,238,29525000,108300,1079
Amarillo,2005,3,268,33065000,109200,1023
Amarillo,2005,4,284,33030000,97700,1082
Amarillo,2005,5,312,40885000,112700,1132
Amarillo,2005,6,340,46910000,117000,1156
Amarillo,2005,7,314,37715000,107200,1221
Amarillo,2005,8,317,42500000,112600,1224
Amarillo,2005,9,309,41940000,111800,1201
Amarillo,2005,10,67,7225000,87000,NA
Amarillo,2005,11,235,30815000,112400,1240
Amarillo,2005,12,211,25900000,102500,1121
Amarillo,2006,1,156,20680000,115000,1181
Amarillo,2006,2,242,32575000,110700,1183
Amarillo,2006,3,321,41000000,105100,1238
Amarillo,2006,4,251,31135000,108700,1248
Amarillo,2006,5,348,49000000,123000,1286
Amarillo,2006,6,345,46755000,120700,NA
Amarillo,2006,7,324,46595000,124300,1439
Amarillo,2006,8,362,50930000,122200,1511
Amarillo,2006,9,288,37365000,114100,NA
Amarillo,2006,10,301,37585000,107400,1435
Amarillo,2006,11,235,31405000,114200,1393
Amarillo,2006,12,272,32930000,105200,1252
Amarillo,2007,1,179,22380000,112600,1304
Amarillo,2007,2,265,31655000,105000,1273
Amarillo,2007,3,277,37430000,117100,1311
Amarillo,2007,4,285,37810000,118400,1313
Amarillo,2007,5,351,46910000,113800,1408
Amarillo,2007,6,348,50975000,117700,1458
Amarillo,2007,7,326,45000000,114400,1549
Amarillo,2007,8,315,50625000,133100,1584
Amarillo,2007,9,242,34370000,121800,1578
Amarillo,2007,10,243,33060000,116100,1513
Amarillo,2007,11,253,32910000,114800,NA
Amarillo,2007,12,216,31950000,129000,1373
Amarillo,2008,1,187,26055000,123600,1421
Amarillo,2008,2,274,37900000,122700,1413
Amarillo,2008,3,264,36825000,122300,1336
Amarillo,2008,4,299,45755000,124900,1387
Amarillo,2008,5,291,41435000,122200,1498
Amarillo,2008,6,296,42955000,122600,1519
Amarillo,2008,7,324,45600000,123100,1564
Amarillo,2008,8,284,40730000,129500,1519
Amarillo,2008,9,254,38575000,132700,1480
Amarillo,2008,10,226,34800000,130000,1474
Amarillo,2008,11,140,19235000,116500,1471
Amarillo,2008,12,170,22755000,117900,1437
Amarillo,2009,1,151,22330000,127300,1430
Amarillo,2009,2,179,24005000,118800,1458
Amarillo,2009,3,202,27975000,121200,1470
Amarillo,2009,4,227,31570000,126000,1533
Amarillo,2009,5,247,36520000,129500,1506
Amarillo,2009,6,307,46045000,126000,1543
Amarillo,2009,7,254,36730000,124600,1588
Amarillo,2009,8,246,34305000,124700,1589
Amarillo,2009,9,251,32745000,117600,1520
Amarillo,2009,10,266,37810000,123700,1470
Amarillo,2009,11,263,37462352,123500,1360
Amarillo,2009,12,204,28945000,116500,1261
Amarillo,2010,1,107,16555053,131200,1311
Amarillo,2010,2,178,23246256,115000,1338
Amarillo,2010,3,203,26989053,113500,1472
Amarillo,2010,4,293,39634272,122800,1474
Amarillo,2010,5,333,45797490,122100,NA
Amarillo,2010,6,272,42959136,139400,1449
Amarillo,2010,7,182,25534386,126200,1643
Amarillo,2010,8,247,42336958,130300,1592
Amarillo,2010,9,205,28885143,125800,1550
Amarillo,2010,10,216,31979853,125500,1527
Amarillo,2010,11,135,20171558,130700,1341
Amarillo,2010,12,185,24975000,118900,1381
Amarillo,2011,1,122,16986129,122700,1480
Amarillo,2011,2,153,21097782,113800,1409
Amarillo,2011,3,221,31326971,123500,1435
Amarillo,2011,4,226,34340022,126200,1470
Amarillo,2011,5,239,34842734,126600,1507
Amarillo,2011,6,276,43981120,136000,1513
Amarillo,2011,7,267,39229851,124400,1511
Amarillo,2011,8,390,40411846,137100,1534
Amarillo,2011,9,202,30498652,128000,1496
Amarillo,2011,10,221,33245352,126800,1147
Amarillo,2011,11,196,30877378,128100,1328
Amarillo,2011,12,192,28348675,126700,1153
Amarillo,2012,1,143,20409784,125500,1302
Amarillo,2012,2,162,22084286,122500,1277
Amarillo,2012,3,248,36909154,131000,1315
Amarillo,2012,4,251,36550052,132100,1355
Amarillo,2012,5,256,47384870,145000,1373
Amarillo,2012,6,320,47567541,131500,1400
Amarillo,2012,7,268,43218765,139300,1446
Amarillo,2012,8,302,51381019,141800,1377
Amarillo,2012,9,265,41571476,136600,1335
Amarillo,2012,10,242,39504208,138500,1309
Amarillo,2012,11,248,36918379,121500,1252
Amarillo,2012,12,228,35395056,128300,1124
Amarillo,2013,1,187,26444725,115000,1215
Amarillo,2013,2,175,26609836,127700,1184
Amarillo,2013,3,252,38218836,126200,1130
Amarillo,2013,4,302,46774790,138900,1209
Amarillo,2013,5,304,47772765,137900,1346
Amarillo,2013,6,275,45613832,145100,1366
Amarillo,2013,7,308,50658875,149700,1374
Amarillo,2013,8,287,48385038,145600,1385
Amarillo,2013,9,257,42851137,139700,1367
Amarillo,2013,10,256,42109011,143700,1296
Amarillo,2013,11,209,35271731,132400,1229
Amarillo,2013,12,245,40478351,142200,1146
Amarillo,2014,1,164,30053425,137500,1183
Amarillo,2014,2,205,32266720,139000,1146
Amarillo,2014,3,244,37477782,138100,1160
Amarillo,2014,4,260,44299103,139400,1202
Amarillo,2014,5,290,46266884,137000,1243
Amarillo,2014,6,351,59577665,145700,1304
Amarillo,2014,7,305,54629643,150900,1352
Amarillo,2014,8,279,49714220,152500,1337
Amarillo,2014,9,272,45370534,136700,1284
Amarillo,2014,10,267,43330229,141100,1291
Amarillo,2014,11,226,36158899,137900,1212
Amarillo,2014,12,239,42276704,145200,1106
Amarillo,2015,1,204,33188726,138500,1120
Amarillo,2015,2,188,34355428,149400,1084
Amarillo,2015,3,317,53603130,140900,1051
Amarillo,2015,4,314,50570482,147200,1041
Amarillo,2015,5,339,61402581,157900,1085
Amarillo,2015,6,342,61748196,152100,1213
Amarillo,2015,7,354,62261916,149700,1247
Arlington,2000,1,241,26220683,94000,1417
Arlington,2000,2,337,36618555,94300,1402
Arlington,2000,3,493,56714365,98700,1347
Arlington,2000,4,456,54108160,99000,1346
Arlington,2000,5,498,58688050,103000,1360
Arlington,2000,6,491,61753364,107900,1421
Arlington,2000,7,446,54540495,105800,1434
Arlington,2000,8,507,60875199,103400,1417
Arlington,2000,9,407,52509988,110500,1418
Arlington,2000,10,392,48300376,104100,1418
Arlington,2000,11,338,41776960,107700,1370
Arlington,2000,12,363,46705325,105700,1306
Arlington,2001,1,266,34187727,105700,1428
Arlington,2001,2,402,48908661,106400,1466
Arlington,2001,3,481,61799819,109700,1516
Arlington,2001,4,487,63515514,111600,1517
Arlington,2001,5,536,69878959,114400,1592
Arlington,2001,6,534,67744182,108500,1627
Arlington,2001,7,500,66350350,116000,1693
Arlington,2001,8,505,65080743,113600,1616
Arlington,2001,9,442,56728723,112000,1656
Arlington,2001,10,407,51328965,113200,1647
Arlington,2001,11,425,53024458,111700,1583
Arlington,2001,12,353,47654250,116400,1464
Arlington,2002,1,314,39966772,112000,1542
Arlington,2002,2,378,46058048,107500,1653
Arlington,2002,3,461,58346224,113700,1643
Arlington,2002,4,468,61356437,111800,1683
Arlington,2002,5,503,67240236,116100,1741
Arlington,2002,6,495,64673182,116300,1811
Arlington,2002,7,509,66954143,119100,1925
Arlington,2002,8,467,62199241,117200,1909
Arlington,2002,9,426,54118102,116100,1955
Arlington,2002,10,423,56866208,116000,2050
Arlington,2002,11,368,47740480,116600,1999
Arlington,2002,12,391,49595229,117100,1976
Arlington,2003,1,335,42505826,114500,2155
Arlington,2003,2,370,51593837,119500,2194
Arlington,2003,3,459,59668872,119900,2345
Arlington,2003,4,420,52103275,113800,2478
Arlington,2003,5,502,67131982,118000,2544
Arlington,2003,6,495,68632935,122900,2731
Arlington,2003,7,524,73194692,123500,2799
Arlington,2003,8,531,72397143,123900,2801
Arlington,2003,9,451,63432091,119200,2708
Arlington,2003,10,451,59867438,123400,2637
Arlington,2003,11,362,51186383,123100,2539
Arlington,2003,12,405,55076568,120200,2426
Arlington,2004,1,288,36572326,114500,2638
Arlington,2004,2,354,48048923,120400,2709
Arlington,2004,3,493,66902880,117000,2823
Arlington,2004,4,489,66665281,117100,2915
Arlington,2004,5,527,72401436,118300,2922
Arlington,2004,6,515,73886166,121300,2893
Arlington,2004,7,578,79609568,123800,2900
Arlington,2004,8,515,72336231,121500,2833
Arlington,2004,9,480,66141732,120300,2777
Arlington,2004,10,464,63006978,124100,2769
Arlington,2004,11,394,52819945,123700,2640
Arlington,2004,12,446,63363369,123300,2475
Arlington,2005,1,327,43605670,120500,2671
Arlington,2005,2,364,48747730,122200,2828
Arlington,2005,3,492,68782581,123900,2890
Arlington,2005,4,548,78286558,124600,2954
Arlington,2005,5,579,81002282,124200,2963
Arlington,2005,6,660,97579136,127000,3102
Arlington,2005,7,588,88850414,135100,3172
Arlington,2005,8,628,94065048,132800,NA
Arlington,2005,9,551,85175555,134100,2846
Arlington,2005,10,482,69275277,130700,2844
Arlington,2005,11,448,65724505,130500,2769
Arlington,2005,12,484,76456692,135600,2537
Arlington,2006,1,348,50313284,125200,2720
Arlington,2006,2,415,58242346,125500,2843
Arlington,2006,3,578,83537970,129500,2950
Arlington,2006,4,583,82590779,128600,3008
Arlington,2006,5,656,95885042,129300,3099
Arlington,2006,6,720,107962697,134300,3122
Arlington,2006,7,621,93238745,132600,3207
Arlington,2006,8,715,106903695,130900,3178
Arlington,2006,9,505,75665308,131800,3215
Arlington,2006,10,483,70733566,128800,3126
Arlington,2006,11,472,69649910,133100,3019
Arlington,2006,12,487,74138446,134100,2829
Arlington,2007,1,391,58230415,130500,2967
Arlington,2007,2,420,63293055,126800,3042
Arlington,2007,3,573,86029966,131700,3160
Arlington,2007,4,541,77760044,129200,3209
Arlington,2007,5,605,88579861,128000,3161
Arlington,2007,6,619,91363030,133200,3140
Arlington,2007,7,567,87483513,135700,3208
Arlington,2007,8,553,81555794,128300,3049
Arlington,2007,9,427,66067557,132300,3029
Arlington,2007,10,407,60303327,128600,3020
Arlington,2007,11,382,58123749,132900,2794
Arlington,2007,12,397,56669818,126200,2580
Arlington,2008,1,299,41280330,128000,2652
Arlington,2008,2,361,52437477,127000,2606
Arlington,2008,3,390,60168088,131100,2660
Arlington,2008,4,458,67512370,130400,2676
Arlington,2008,5,531,81648934,131700,2578
Arlington,2008,6,468,71016280,131400,2587
Arlington,2008,7,452,69076095,136600,2546
Arlington,2008,8,464,67702876,130700,2415
Arlington,2008,9,436,63544449,127900,2241
Arlington,2008,10,369,51740641,126300,2203
Arlington,2008,11,263,37364981,123200,2139
Arlington,2008,12,323,46549795,130200,1957
Arlington,2009,1,214,28826098,121300,2000
Arlington,2009,2,253,35719731,127400,2060
Arlington,2009,3,344,48412582,123900,2094
Arlington,2009,4,356,49918860,127100,2056
Arlington,2009,5,351,50405268,128200,2191
Arlington,2009,6,417,63626964,135100,1944
Arlington,2009,7,448,64287307,131400,1943
Arlington,2009,8,409,61097738,132900,1864
Arlington,2009,9,365,49927665,126100,1754
Arlington,2009,10,424,63227634,131700,1787
Arlington,2009,11,360,50384639,127600,1708
Arlington,2009,12,328,49744684,132400,1673
Arlington,2010,1,216,29631325,123100,1750
Arlington,2010,2,275,40004983,126000,1839
Arlington,2010,3,412,62970419,129700,1877
Arlington,2010,4,451,64885372,130100,1847
Arlington,2010,5,450,66279392,132300,2016
Arlington,2010,6,367,58389192,134600,2221
Arlington,2010,7,279,40514948,133200,2313
Arlington,2010,8,311,49221252,135000,2226
Arlington,2010,9,297,44224586,128000,2161
Arlington,2010,10,280,38596506,127500,1993
Arlington,2010,11,260,36954226,127100,1905
Arlington,2010,12,285,41382701,130000,1821
Arlington,2011,1,193,25505380,114400,1830
Arlington,2011,2,173,25854108,120400,1827
Arlington,2011,3,333,46116919,123000,1909
Arlington,2011,4,334,48110521,120000,1932
Arlington,2011,5,327,45259572,123100,1941
Arlington,2011,6,387,56500260,126900,1930
Arlington,2011,7,335,50872848,126700,1843
Arlington,2011,8,422,64394492,130000,1754
Arlington,2011,9,357,51991586,129300,1634
Arlington,2011,10,294,44329903,126900,1576
Arlington,2011,11,274,44207277,130900,1463
Arlington,2011,12,290,42528627,119600,1333
Arlington,2012,1,224,30369919,115300,1321
Arlington,2012,2,240,31954676,118500,1266
Arlington,2012,3,349,52798200,132200,1270
Arlington,2012,4,368,53960937,131400,1310
Arlington,2012,5,412,63192717,134100,1322
Arlington,2012,6,412,67155821,143100,1303
Arlington,2012,7,447,70307028,139500,1308
Arlington,2012,8,449,70035003,137500,1240
Arlington,2012,9,336,50041340,127600,1204
Arlington,2012,10,361,56661811,131700,1173
Arlington,2012,11,322,45780030,125200,1080
Arlington,2012,12,328,49146200,126200,958
Arlington,2013,1,295,40923056,123100,900
Arlington,2013,2,331,49451110,131600,932
Arlington,2013,3,403,61396575,132700,916
Arlington,2013,4,427,70573419,146700,888
Arlington,2013,5,554,94991902,146500,921
Arlington,2013,6,453,75310230,149200,1000
Arlington,2013,7,500,86350211,150200,1053
Arlington,2013,8,500,84920259,149600,1042
Arlington,2013,9,440,73848120,144800,954
Arlington,2013,10,439,75115808,144400,910
Arlington,2013,11,328,52294361,143800,824
Arlington,2013,12,395,64868680,144600,771
Arlington,2014,1,256,41006184,140600,768
Arlington,2014,2,336,58269730,147400,740
Arlington,2014,3,427,77396505,157500,723
Arlington,2014,4,455,79549262,154800,782
Arlington,2014,5,506,91788721,161600,846
Arlington,2014,6,537,96394795,159900,878
Arlington,2014,7,518,92575560,159200,882
Arlington,2014,8,525,103084604,168300,839
Arlington,2014,9,463,80898740,156000,773
Arlington,2014,10,476,84823129,157100,709
Arlington,2014,11,341,59150527,155200,631
Arlington,2014,12,411,76106139,161000,606
Arlington,2015,1,261,46090246,159700,552
Arlington,2015,2,294,52265816,162400,544
Arlington,2015,3,421,77956558,164300,547
Arlington,2015,4,433,80801986,166600,570
Arlington,2015,5,526,113228979,179100,614
Arlington,2015,6,522,105881452,180000,682
Arlington,2015,7,605,125495239,178900,752
Austin,2000,1,1025,173053635,133700,3084
Austin,2000,2,1277,226038438,134000,2989
Austin,2000,3,1603,298557656,136700,3042
Austin,2000,4,1556,289197960,136900,3192
Austin,2000,5,1980,393073774,144700,3617
Austin,2000,6,1885,368290072,148800,3799
Austin,2000,7,1818,351539312,149300,3944
Austin,2000,8,1880,360255090,146300,3948
Austin,2000,9,1498,292799874,148700,4058
Austin,2000,10,1524,300952544,150100,4100
Austin,2000,11,1245,244873204,148000,4114
Austin,2000,12,1330,262408360,149900,4005
Austin,2001,1,1086,204981438,142000,4435
Austin,2001,2,1213,234385962,151000,5325
Austin,2001,3,1553,296870356,148500,6097
Austin,2001,4,1579,302565123,151100,6800
Austin,2001,5,1838,367601554,151900,7523
Austin,2001,6,1857,366626307,151500,8177
Austin,2001,7,1871,364827740,155500,8406
Austin,2001,8,1801,359972391,153800,8374
Austin,2001,9,1381,257925803,146800,8503
Austin,2001,10,1351,245812749,139700,8135
Austin,2001,11,1388,257247398,152400,7378
Austin,2001,12,1474,297729300,155700,6810
Austin,2002,1,1172,242074554,152600,6851
Austin,2002,2,1407,279623092,157300,7190
Austin,2002,3,1550,313749244,156600,7625
Austin,2002,4,1665,322148092,156200,8226
Austin,2002,5,1931,383478450,156000,9109
Austin,2002,6,1829,371258246,158900,9620
Austin,2002,7,1729,332673864,151700,9863
Austin,2002,8,1742,346430746,156900,9843
Austin,2002,9,1407,274003236,152400,9854
Austin,2002,10,1480,291194551,150300,9747
Austin,2002,11,1304,244930656,149800,9189
Austin,2002,12,1500,294382650,151600,8854
Austin,2003,1,1094,198926472,144100,9163
Austin,2003,2,1236,237034508,150600,9541
Austin,2003,3,1522,294928586,153000,10152
Austin,2003,4,1547,301081936,154700,10756
Austin,2003,5,1652,329708716,156800,11071
Austin,2003,6,1931,401039300,162400,11000
Austin,2003,7,2048,416842800,160500,10929
Austin,2003,8,2169,423729417,155300,10761
Austin,2003,9,1898,357269553,151500,10649
Austin,2003,10,1609,317732419,152700,10475
Austin,2003,11,1362,267634196,151500,9939
Austin,2003,12,1725,353090616,155600,9644
Austin,2004,1,1096,203983516,144400,9853
Austin,2004,2,1300,255330644,148900,10442
Austin,2004,3,1650,329520600,154100,10769
Austin,2004,4,2039,397886270,154500,10895
Austin,2004,5,2084,418371770,155500,11104
Austin,2004,6,2433,501302304,160100,11122
Austin,2004,7,2377,480101629,158700,11028
Austin,2004,8,2333,466782418,152800,10797
Austin,2004,9,1927,390609048,158200,10436
Austin,2004,10,1704,341152576,150300,10141
Austin,2004,11,1630,308820516,147500,9277
Austin,2004,12,1994,393603237,154000,8863
Austin,2005,1,1430,281261604,148300,8909
Austin,2005,2,1639,317890683,156900,9198
Austin,2005,3,2167,441137816,154700,9515
Austin,2005,4,2156,436705640,158200,9780
Austin,2005,5,2496,539885343,159500,9204
Austin,2005,6,2701,577224899,166100,9455
Austin,2005,7,2715,594741961,165800,9726
Austin,2005,8,2883,612428226,167500,9095
Austin,2005,9,2495,520740255,158400,8605
Austin,2005,10,2126,438332894,158800,8419
Austin,2005,11,1975,435832989,167900,7933
Austin,2005,12,2122,464752606,168600,7738
Austin,2006,1,1694,380503741,167900,8098
